name,type,factorNo,remarks
WVAD,情绪类,WVAD,威廉变异离散量
WorkingCapital,基础科目衍生类,WorkingCapital,运营资本
WMA,特色技术指标类,WMA,加权移动平均数
WILLR,特色技术指标类,WILLR,威廉指标
WCLPRICE,特色技术指标类,WCLPRICE,加权收盘价
VSTD20,情绪类,VSTD20,20日成交金额的标准差
VSTD10,情绪类,VSTD10,10日成交量标准差
VROC6,情绪类,VROC6,6日量变动速率指标
VROC12,情绪类,VROC12,12日量变动速率指标
VR,情绪类,VR,成交量比率(VolumeRatio)
VOSC,情绪类,VOSC,成交量震荡
VOLUMN3M,情绪类,VOLUMN3M,成交量3M指标
VOLUMN1M,情绪类,VOLUMN1M,成交量1M指标
VOLATILITY,情绪类,VOLATILITY,换手率相对波动率
VOL60,情绪类,VOL60,60日平均换手率
VOL5,情绪类,VOL5,5日平均换手率
VOL240,情绪类,VOL240,240日平均换手率
VOL20,情绪类,VOL20,20日平均换手率
VOL120,情绪类,VOL120,120日平均换手率
VOL10,情绪类,VOL10,10日平均换手率
VMACD,情绪类,VMACD,成交量量指数平滑异同移动平均线
VEMA5,情绪类,VEMA5,成交量的5日指数移动平均
VEMA26,情绪类,VEMA26,成交量的26日指数移动平均
VEMA12,情绪类,VEMA12,成交量的12日指数移动平均
VEMA10,情绪类,VEMA10,成交量的10日指数移动平均
VDIFF,情绪类,VDIFF,计算VMACD因子的中间变量(VDIFF)
VDEA,情绪类,VDEA,计算VMACD因子的中间变量(VDEA)
Variance60,收益风险类,Variance60,60日方差
Variance20,收益风险类,Variance20,20日方差
Variance120,收益风险类,Variance120,120日方差
VAR,特色技术指标类,VAR,方差
ValueChgProfit,基础科目衍生类,ValueChgProfit,价值变动净收益
UOS,常用技术指标类,UOS,终极指标
UndividedProfitPS,每股指标类,UndividedProfitPS,每股未分配利润
ULCER5,常用技术指标类,ULCER5,Ul5指标
ULCER10,常用技术指标类,ULCER10,Ul10指标
TYPPRICE,特色技术指标类,TYPPRICE,典型的价格
TVSTD6,情绪类,TVSTD6,6日成交金额的标准差
TVSTD20,情绪类,TVSTD20,20日成交金额的标准差
TVMA6,情绪类,TVMA6,6日成交金额的移动平均值
TVMA20,情绪类,TVMA20,20日成交金额的移动平均值
TSF,特色技术指标类,TSF,时间序列预测
TSEPToTotalCapital,质量类,TSEPToTotalCapital,归属于母公司所有者权益合计/全部投入资本
TSEPToInterestBearDebt,质量类,TSEPToInterestBearDebt,归属母公司股东的权益/带息负债
TRIMA,特色技术指标类,TRIMA,三角移动平均线
Treynorratio60,收益风险类,Treynorratio60,60日特诺雷比率
Treynorratio20,收益风险类,Treynorratio20,20日特诺雷比率
Treynorratio120,收益风险类,Treynorratio120,120日特诺雷比率
TRevenueTTM,基础科目衍生类,TRevenueTTM,营业总收入(TTM)
TProfitTTM,基础科目衍生类,TProfitTTM,利润总额(TTM)
TotalProfitGrowRate,成长类,TotalProfitGrowRate,利润总额增长率
TotalProfitCostRatio,质量类,TotalProfitCostRatio,成本费用利润率
TotalPaidinCapital,基础科目衍生类,TotalPaidinCapital,全部投入资本
TotalFixedAssets,基础科目衍生类,TotalFixedAssets,固定资产合计
TotalAssetsTRate,质量类,TotalAssetsTRate,总资产周转率
TotalAssets,基础科目衍生类,TotalAssets,总资产
TotalAssetGrowRate,成长类,TotalAssetGrowRate,总资产增长率
TORPS,每股指标类,TORPS,每股营业总收入(最新)
TK_60,情绪类,TK_60,60日资本利得突出量
TK_20,情绪类,TK_20,20日资本利得突出量
TK_120,情绪类,TK_120,120日资本利得突出量
TEMA5,常用技术指标类,TEMA5,5日三重指数移动平均线
TEMA10,常用技术指标类,TEMA10,10日三重指数移动平均线
TEAP,基础科目衍生类,TEAP,归属母公司所有者权益
TCostTTM,基础科目衍生类,TCostTTM,营业总成本(TTM)
TaxRatio,质量类,TaxRatio,销售税金率
TangibleAToNetDebt,质量类,TangibleAToNetDebt,有形净值/净债务
TangibleAToInteBearDebt,质量类,TangibleAToInteBearDebt,有形净值/带息负债
TA2EV,价值类,TA2EV,资产总计与企业价值之比
T3,特色技术指标类,T3,三重指数移动平均线(T3)
SWINGINDEX,常用技术指标类,SWINGINDEX,振动升降指标
SurplusReserveFundPS,每股指标类,SurplusReserveFundPS,每股盈余公积金
SuperQuickRatio,质量类,SuperQuickRatio,超速动比率
SUOI,行业与分析师类,SUOI,未预期毛利
SUM,特色技术指标类,SUM,求和
SUE,行业与分析师类,SUE,未预期盈余
STOQ,情绪类,STOQ,3个月换手率对数平均
STOM,情绪类,STOM,月度换手率对数
STOA,情绪类,STOA,12个月换手率对数平均
STM,情绪类,STM,计算ADTM因子的中间变量(STM)
STDDEV,特色技术指标类,STDDEV,标准差
StaticPE,价值类,StaticPE,静态PE
ST_60,情绪类,ST_60,60日凸显因子
ST_5,情绪类,ST_5,5日凸显因子
ST_20,情绪类,ST_20,20日凸显因子
ST_120,情绪类,ST_120,120日凸显因子
ST_10,情绪类,ST_10,10日凸显因子
SRMI,动量类,SRMI,修正动量指标
SMA,特色技术指标类,SMA,简单移动平均线
Skewness20,收益风险类,Skewness20,20日偏度
Sharperatio60,收益风险类,Sharperatio60,60日夏普比率
Sharperatio20,收益风险类,Sharperatio20,20日夏普比率
sharperatio120,收益风险类,sharperatio120,120日夏普比率
ShareholderFCFPS,每股指标类,ShareholderFCFPS,每股股东自由现金流量
SGRO,成长类,SGRO,5年营业收入增长率
SFY12P,行业与分析师类,SFY12P,分析师营收预测
SBM,情绪类,SBM,计算ADTM因子的中间变量(SBM)
SAR,特色技术指标类,SAR,抛物线指标
SalesServiceCashToORLatest,质量类,SalesServiceCashToORLatest,销售商品提供劳务收到的现金与营业收入之比(最新)
SalesExpenseTTM,基础科目衍生类,SalesExpenseTTM,销售费用(TTM)
SaleServiceRenderCashTTM,基础科目衍生类,SaleServiceRenderCashTTM,销售商品提供劳务收到的现金(TTM)
SaleServiceCashToOR,质量类,SaleServiceCashToOR,销售商品提供劳务收到的现金与营业收入之比
SalesCostRatio,质量类,SalesCostRatio,销售成本率
