random_num,股票编号,上市年限,所属行业,所属概念板块,code,上市年限计算
9,1,1992-03-30,房地产业,预增;小盘成长;标普道琼斯概念;地方国企;深圳市国资;粤港澳大湾区;粤港澳自贸区;预减;含B股的A股;广东省国资,szse.000011,26
1335,2,2017-07-21,制造业,次新股;音乐产业;消费电子产业;合资企业;智能音箱,002888.SZ,1
2349,3,2001-05-24,制造业,股权转让;融资融券;低价小市值;融资融券标的;成渝特区,600321.SH,17
2728,4,1996-11-08,批发和零售业,预增;地方国企,600774.SH,22
2037,5,2017-08-09,制造业,次新股,300689.SZ,1
1544,6,2011-02-15,制造业,国家队;员工持股;超涨;重组,300179.SZ,7
1275,7,2017-01-12,制造业,打板;超涨,002824.SZ,1
3462,8,2015-12-22,制造业,可转债,603996.SH,3
2457,9,2001-06-15,制造业,充电桩;太赫兹;地方国企;天津市国资;预减;钨矿;超涨;超导;国家队;智能电网,600468.SH,17
3171,10,2017-01-06,制造业,高频PCB;科技龙头;基金重仓(季调);二线龙头;可转债;手机产业;电路板;珠三角;消费电子产业;标普道琼斯概念,603228.SH,1
3338,11,2016-04-12,制造业,预减,603701.SH,2
3277,12,2016-08-10,租赁和商务服务业,标普道琼斯概念;预减;含可转债,603569.SH,2
861,13,2010-05-06,制造业,融资融券标的;融资融券;员工持股;MSCI中盘;预增;标普道琼斯概念;超涨;大盘蓝筹;珠三角,002399.SZ,8
565,14,2006-12-29,制造业,,002102.SZ,12
1101,15,2011-12-08,批发和零售业,标普道琼斯概念;基金重仓(季调);股票质押;MSCI中盘;行业龙头;跨境电商;电子商务,002640.SZ,7
2589,16,1992-11-17,综合,融资融券标的;养老产业;举牌;合资企业;融资融券,600620.SH,26
906,17,2010-07-13,制造业,国家队;机器人;大盘蓝筹;融资融券;人民币贬值;并购阶段(需定增);融资融券标的;标普道琼斯概念,002444.SZ,8
855,18,2010-04-23,制造业,地方国企;国家队;融资融券标的;抗核辐射;天津市国资;融资融券,002393.SZ,8
2796,19,1994-03-24,信息传输、软件和信息技术服务业,央企;标普道琼斯概念;重组;十大军工集团;预增;护城河;云计算;国家队,600850.SH,24
3346,20,2017-08-11,文化、体育和娱乐业,影视;超涨;地方国企;次新股;文化传媒概念,603721.SH,1
2126,21,1997-05-26,建筑业,证金概念;PPP;行业龙头;水利水电建设;MSCI大盘;融资融券;一线龙头;社保重仓;基金重仓(季调);国家队;大盘蓝筹;一带一路;标普道琼斯概念;央企;融资融券标的,600068.SH,21
1310,22,2017-04-11,制造业,次新股,002862.SZ,1
3299,23,2017-07-18,制造业,标普道琼斯概念;次新股;出口型企业;含可转债;预减;超涨,603612.SH,1
3098,24,2017-09-21,制造业,预增;小盘成长;含可转债;近端次新股;次新股,603055.SH,1
3191,25,2017-03-30,制造业,绿色节能照明;次新股,603303.SH,1
2808,26,1994-05-20,电力、热力、燃气及水生产和供应业,MSCI中盘;含可转债;可转债;融资融券;火电;陆股通50;融资融券标的;央企;煤电重组;国家队;标普道琼斯概念;CDM项目;预增,600863.SH,24
1257,27,2016-07-07,制造业,,002805.SZ,2
507,28,2005-05-18,卫生和社会工作,国家队;智慧医疗;预增;社保重仓;基金重仓(季调);大盘蓝筹;行业龙头;股票质押;大消费;健康中国;基金减持;标普道琼斯概念,002044.SZ,13
3069,29,2015-03-20,制造业,电动物流车;新能源汽车;超跌;预增,603012.SH,3
352,30,1998-08-13,制造业,雄安新区;地方国企;国家队;京津冀一体化,000856.SZ,20
704,31,2008-05-22,制造业,消费电子代工;白马股;苹果;融资融券;科技龙头;基金重仓(季调);MSCI大盘;护城河;智能家居;智能穿戴;标普道琼斯概念;5G应用;员工持股;制造业单项冠军企业;传感器;中小创蓝筹;国家队;融资融券标的;智能音箱;行业龙头;一线龙头;大消费;智能手表;消费电子产业;TWS耳机;虚拟现实,002241.SZ,10
3364,32,2016-05-16,制造业,葡萄酒,603779.SH,2
318,33,1998-05-06,制造业,军民融合;并购阶段(需定增);地方国企;预减;三网融合;标普道琼斯概念;融资融券标的;融资融券,000801.SZ,20
1464,34,2010-08-06,制造业,煤矿智能;军民融合,300099.SZ,8
1496,35,2010-10-19,批发和零售业,预减;出口型企业;超涨;消费电子产业;智能家居,300131.SZ,8
312,36,1997-08-08,制造业,出口型企业;稀土永磁;标普道琼斯概念,000795.SZ,21
1779,37,2015-01-23,制造业,预增;最小市值;国家队,300417.SZ,3
1216,38,2015-06-11,制造业,打板;重组;预增;并购阶段(需定增);国家队,002760.SZ,3
3068,39,2014-11-07,制造业,机床;超涨,603011.SH,4
2496,40,2002-08-30,制造业,预减;股票质押;行业龙头;融资融券标的;出口型企业;石墨烯;大盘蓝筹;标普道琼斯概念;国家队;一线龙头;融资融券,600516.SH,16
2488,41,2003-09-30,制造业,基金重仓(季调);国家队;大盘蓝筹;二线龙头;陆股通50;标普道琼斯概念,600507.SH,15
1192,42,2015-01-27,制造业,小盘成长;员工持股;虫害防治,002734.SZ,3
3120,43,2016-05-06,批发和零售业,预减,603101.SH,2
3304,44,2017-11-17,采矿业,次新股;近端次新股;预减;标普道琼斯概念,603619.SH,1
1866,45,2016-03-24,建筑业,装饰园林;预减;小盘成长,300506.SZ,2
