DRAWCOLUMNCHART,"表示柱高,C1判断柱的方向,C2判断柱的颜色",,,,,,
UNITLIMIT,取交易合约的限制拥有持仓数,,,,,,
ABS,求X的绝对值,,,,,,
NODRAW,不画线,,,,,,
GETPRICE,"合约文华码,TYPE为价格",,,,,,
GROUPBKPRICE,"为指令分组组别,A-I",,,,,,
GROUPSKPRICE,"为指令分组组别,A-I",,,,,,
PERIOD,自动读取当前技术图表周期,,,,,,
CLOSEOUT,"清仓指令,平掉所有方向的持仓",,,,,,
BKVOL,返回模型当前的多头理论持仓,,,,,,
SKVOL,返回模型当前的空头理论持仓,,,,,,
GROUPBKVOL,"为指令分组组别,A-I",,,,,,
GROUPSKVOL,"为指令分组组别,A-I",,,,,,
ACOS,求X的反余弦值,,,,,,
ASIN,求X的反正弦值,,,,,,
ATAN,求X的反正切值,,,,,,
AUTOFILTER,启用信号过滤机制,,,,,,
AVEDEV,求X在N周期内的平均绝对偏差,,,,,,
AVPRICE,取均价,,,,,,
BARPOS,取某K线的位置,,,,,,
NEXTDELIVERYDAY,返回当前日期的即将面临的交割日日期,,,,,,
ISDELIVERYDAY,判断当根k线是否是交割日,,,,,,
BACKGROUNDSTYLE,"设置指标是否钝化显示,i = 0 、1、2",,,,,,
BARSLAST,求上一次条件X满足到现在的周期数,,,,,,
BETWEEN,"处于B和C之间时取1(Yes),否则取0(No)",,,,,,
CEILING,取沿数值A增大方向最接近的整数,,,,,,
CLOSE,取收盘(最新)价,,,,,,
CLOSEMINUTE,"返回K线开始时间距离闭市前的时间（单位：分钟）,方便闭市前及时平仓",,,,,,
CLOSEMINUTE1,"返回当前时间距离闭市前的时间（单位：分钟）,方便闭市前及时平仓",,,,,,
COS,求X的余弦值,,,,,,
COUNT,统计N周期中满足X条件的周期数。若N为0则从第一个周期开始,,,,,,
CROSS,"从下方向上穿过B时取1(Yes),否则取0(No)",,,,,,
CROSS2,表示N个周期内当A从下方向上穿过B的次数为偶数次,,,,,,
CROSSUP,"表示当A从下方向上穿过B时返回1(Yes),否则返回0(No)",,,,,,
CROSSDOWN,"表示当A从上方向下穿过B时返回1(Yes),否则返回0(No)",,,,,,
CUBE,求X的三次方,,,,,,
DATE,取某周期的日期数（19700101-20331231）,,,,,,
DAY,取某周期的日数（1-31）,,,,,,
DEVSQ,求X的N个周期的数据偏差平方和,,,,,,
DMA,求X的动态移动平均。A必须小于1大于0,,,,,,
KTEXT,在k线上标注文字,,,,,,
DRAWSL,"当条件满足时,在DATA数据处以每个周期相差SLOPE个价位作为斜率画LEN个周期长的线段",,,,,,
DRAWICON,"当条件COND满足时,在PRICE位置画图标ICON",,,,,,
DRAWLINE,满足条件C1时及C2时从P1向P2画线,,,,,,
DRAWKLINE,"按照宽度比例WidthRatio画线（WidthRadio从0到1）,阳线以COLOR1和EMPTY1判断",,,,,,
DRAWNUMBER,当条件COND满足时在DATA位置写数字NUMBER,,,,,,
DRAWTEXT,"当COND条件满足时,在PRICE位置书写文字TEXT",,,,,,
DUALVOLUME,返回值代表一段时间内的（主动买-主动卖）的平均数值,,,,,,
SETSTYLECOLOR,设置线型的粗细和颜色,,,,,,
EMA,求X的N日指数加权移动平均值,,,,,,
EMA2,求X的N个周期的线性加权平均值,,,,,,
EMAWH,求X的N日指数加权移动平均值,,,,,,
EXIST,"判断过去周期N内,是否有满足条件X ",,,,,,
EXP,求e的X次幂,,,,,,
EVERY,"判断过去一定周期N内,是否一直满足条件X",,,,,,
FILLRGN,"当条件满足时,以颜色COLOR填充DATA1及DATA2之间形成的区域",,,,,,
FILTER,"当COND条件成立时,将其后N周期内的数据设置为0.",,,,,,
FLOOR,取沿A数值减小方向最接近的整数,,,,,,
FORCAST,求X的N周期线性回归预测值,,,,,,
HV,求X在N个周期内的最高值(不包含当前K线),,,,,,
HHV,求X在N个周期内的最高值,,,,,,
HHVBARS,求N周期内X最高值到当前周期数,,,,,,
BKHIGH,返回数据合约买开仓以来的最高价,,,,,,
BKLOW,返回数据合约买开仓以来的最低价,,,,,,
SKHIGH,返回数据合约卖开仓以来的最高价,,,,,,
SKLOW,返回数据合约卖开仓以来的最低价,,,,,,
HIGH,取最高价,,,,,,
HOUR,取某周期的小时（0-23）,,,,,,
ICON,"在k线图上,显示小图标",,,,,,
IFELSE,"若满足条件X则取A,否则取B",,,,,,
#IMPORT,"[PERIOD,N,FORMULA] AS VAR 引用PERIOD参数为N的周期下的指标FORMULA的数据",,,,,,
INTPART,取X的整数部分,,,,,,
ISDOWN,"判断该周期是否收阴。如果为阴线返回1,否则返回0",,,,,,
ISEQUAL,"判断该周期是否平盘,如果K线为平盘返回1,否则返回0",,,,,,
ISLASTKLINE,"判断该周期是否是当日收盘前最后一个K线,如果是返回1,否则返回0",,,,,,
ISUP,"判断该周期是否收阳,如果K线为阳线返回1,否则返回0",,,,,,
LAST,"判断过去N1到N2周期内,是否一直满足条件X",,,,,,
LV,求X在N个周期内的最小值(不包含当前K线),,,,,,
LLV,求X在N个周期内的最小值,,,,,,
LLVBARS,求N周期内X最低值到当前周期数,,,,,,
LN,求X的自然对数,,,,,,
LOG,求X的常用对数,,,,,,
